date,labor_force,employment,unemployment_number,unemployment_rate
2015-01-01,157030.0,148145.0,8885.0,5.7
2015-02-01,156644.0,148045.0,8599.0,5.5
2015-03-01,156643.0,148128.0,8515.0,5.4
2015-04-01,157060.0,148511.0,8550.0,5.4
2015-05-01,157651.0,148817.0,8834.0,5.6
2015-06-01,157062.0,148816.0,8247.0,5.3
2015-07-01,156997.0,148830.0,8167.0,5.2
2015-08-01,157172.0,149181.0,7992.0,5.1
2015-09-01,156733.0,148826.0,7907.0,5.0
2015-10-01,157167.0,149246.0,7922.0,5.0
2015-11-01,157463.0,149463.0,8000.0,5.1
2015-12-01,158035.0,150128.0,7907.0,5.0
2016-01-01,158280.0,150653.0,7627.0,4.8
2016-02-01,158640.0,150939.0,7702.0,4.9
2016-03-01,159179.0,151218.0,7961.0,5.0
2016-04-01,159141.0,151074.0,8067.0,5.1
2016-05-01,158784.0,151132.0,7652.0,4.8
2016-06-01,158967.0,151223.0,7744.0,4.9
2016-07-01,159194.0,151554.0,7641.0,4.8
2016-08-01,159562.0,151779.0,7784.0,4.9
2016-09-01,159714.0,151761.0,7953.0,5.0
2016-10-01,159605.0,151793.0,7811.0,4.9
2016-11-01,159506.0,151954.0,7553.0,4.7
2016-12-01,159678.0,152157.0,7521.0,4.7
2017-01-01,159620.0,152152.0,7468.0,4.7
2017-02-01,159859.0,152480.0,7379.0,4.6
2017-03-01,160137.0,153065.0,7073.0,4.4
2017-04-01,160345.0,153255.0,7089.0,4.4
2017-05-01,160068.0,153069.0,7000.0,4.4
2017-06-01,160192.0,153318.0,6873.0,4.3
2017-07-01,160462.0,153569.0,6892.0,4.3
2017-08-01,160586.0,153503.0,7082.0,4.4
2017-09-01,161140.0,154286.0,6854.0,4.3
2017-10-01,160309.0,153609.0,6700.0,4.2
2017-11-01,160579.0,153805.0,6774.0,4.2
2017-12-01,160535.0,153904.0,6632.0,4.1
2018-01-01,160914.0,154425.0,6489.0,4.0
2018-02-01,161778.0,155197.0,6581.0,4.1
2018-03-01,161686.0,155214.0,6472.0,4.0
2018-04-01,161771.0,155312.0,6459.0,4.0
2018-05-01,161848.0,155652.0,6196.0,3.8
2018-06-01,162210.0,155762.0,6447.0,4.0
2018-07-01,162341.0,156146.0,6195.0,3.8
2018-08-01,161660.0,155504.0,6156.0,3.8
2018-09-01,162087.0,156015.0,6073.0,3.7
2018-10-01,162602.0,156391.0,6211.0,3.8
2018-11-01,162836.0,156721.0,6115.0,3.8
2018-12-01,163206.0,156817.0,6389.0,3.9
2019-01-01,162963.0,156487.0,6475.0,4.0
2019-02-01,162999.0,156863.0,6136.0,3.8
2019-03-01,162904.0,156701.0,6202.0,3.8
2019-04-01,162586.0,156625.0,5961.0,3.7
2019-05-01,162751.0,156821.0,5930.0,3.6
2019-06-01,163168.0,157232.0,5935.0,3.6
2019-07-01,163590.0,157529.0,6061.0,3.7
2019-08-01,163774.0,157829.0,5945.0,3.6
2019-09-01,164092.0,158339.0,5753.0,3.5
2019-10-01,164416.0,158545.0,5871.0,3.6
2019-11-01,164496.0,158629.0,5868.0,3.6
2019-12-01,164699.0,158845.0,5853.0,3.6
2020-01-01,164377.0,158508.0,5869.0,3.6
2020-02-01,164467.0,158714.0,5753.0,3.5
2020-03-01,162559.0,155353.0,7206.0,4.4
2020-04-01,156269.0,133185.0,23084.0,14.8
2020-05-01,158101.0,137173.0,20929.0,13.2
2020-06-01,159994.0,142342.0,17652.0,11.0
2020-07-01,160132.0,143779.0,16352.0,10.2
2020-08-01,160706.0,147245.0,13461.0,8.4
2020-09-01,160174.0,147620.0,12554.0,7.8
2020-10-01,161003.0,149931.0,11072.0,6.9
2020-11-01,160629.0,149934.0,10694.0,6.7
2020-12-01,160745.0,149975.0,10770.0,6.7
2021-01-01,160081.0,149821.0,10260.0,6.4
2021-02-01,160248.0,150234.0,10013.0,6.2
2021-03-01,160439.0,150666.0,9772.0,6.1
2021-04-01,160799.0,151045.0,9754.0,6.1
2021-05-01,160806.0,151546.0,9260.0,5.8
2021-06-01,161202.0,151721.0,9481.0,5.9
2021-07-01,161543.0,152812.0,8731.0,5.4
2021-08-01,161527.0,153258.0,8269.0,5.1
2021-09-01,161454.0,153844.0,7610.0,4.7
2021-10-01,161736.0,154468.0,7267.0,4.5
2021-11-01,162243.0,155513.0,6729.0,4.1
2021-12-01,162466.0,156053.0,6413.0,3.9
2022-01-01,163614.0,157081.0,6533.0,4.0
2022-02-01,163978.0,157654.0,6323.0,3.9
2022-03-01,164271.0,158238.0,6033.0,3.7
2022-04-01,163847.0,157852.0,5995.0,3.7
2022-05-01,164372.0,158393.0,5979.0,3.6
2022-06-01,164059.0,158085.0,5975.0,3.6
2022-07-01,164076.0,158307.0,5770.0,3.5
2022-08-01,164653.0,158744.0,5909.0,3.6
2022-09-01,164561.0,158814.0,5747.0,3.5
2022-10-01,164620.0,158671.0,5949.0,3.6
2022-11-01,164402.0,158484.0,5918.0,3.6
2022-12-01,164983.0,159202.0,5781.0,3.5
2023-01-01,165943.0,160173.0,5770.0,3.5
2023-02-01,166443.0,160457.0,5987.0,3.6
2023-03-01,166707.0,160848.0,5859.0,3.5
2023-04-01,166674.0,160927.0,5747.0,3.4
2023-05-01,166896.0,160812.0,6084.0,3.6
2023-06-01,166958.0,160973.0,5985.0,3.6
2023-07-01,167169.0,161246.0,5923.0,3.5
2023-08-01,167760.0,161485.0,6275.0,3.7
2023-09-01,167725.0,161451.0,6274.0,3.7
2023-10-01,167661.0,161198.0,6463.0,3.9
2023-11-01,168090.0,161863.0,6226.0,3.7
2023-12-01,167388.0,161058.0,6329.0,3.8
2024-01-01,167308.0,161133.0,6175.0,3.7
2024-02-01,167569.0,161083.0,6486.0,3.9
2024-03-01,167983.0,161462.0,6521.0,3.9
2024-04-01,167923.0,161438.0,6486.0,3.9
2024-05-01,167807.0,161180.0,6627.0,3.9
2024-06-01,168034.0,161152.0,6881.0,4.1
2024-07-01,168395.0,161297.0,7098.0,4.2
2024-08-01,168492.0,161429.0,7063.0,4.2
2024-09-01,168662.0,161813.0,6849.0,4.1
2024-10-01,168395.0,161444.0,6951.0,4.1
2024-11-01,168248.0,161159.0,7089.0,4.2
2024-12-01,168506.0,161586.0,6920.0,4.1
2025-01-01,170696.0,163831.0,6865.0,4.0
2025-02-01,170441.0,163338.0,7104.0,4.2
2025-03-01,170641.0,163509.0,7132.0,4.2
2025-04-01,171054.0,163898.0,7155.0,4.2
2025-05-01,170492.0,163244.0,7248.0,4.3
2025-06-01,170380.0,163327.0,7054.0,4.1
2025-07-01,170412.0,163140.0,7272.0,4.3
2025-08-01,170750.0,163370.0,7380.0,4.3
2025-09-01,171261.0,163656.0,7605.0,4.4
2025-11-01,171541.0,163760.0,7781.0,4.5
2025-12-01,171495.0,163992.0,7503.0,4.4
